,,,Evidence of Institutional Commitment,,,,,,,,,,,,
Institution,Institution Descriptions,Centers and Clinics,"Relevant Centers, Institutes, & Programs",Recurring symposia,Relevant clinic clients,,,,,,,, ,,
Albany Law School,,"Community Economic Development Clinic

Innovation and Entrepreneurship",TRUE,FALSE,FALSE,,"Albany's Innovation and Entrepreneurship program has an ""Innovation and Entrepreneurship Pathway."" Within that pathway, students can choose a ""Social Entrepreneurship and Law"" concentration, although students are not required to choose a concentration.

Albany also has a Community Economic Development Clinic (founded in 2016), which serves as a legal resource for individuals, startups, small businesses, nonprofits, and grassroots groups to increase access to transactional legal services, however the clinic site makes no mention of serving clients who are social entrepreneurs or operate as any of our secondary keywords. 

","Tied for #117 by US News

The ""Social Entreprenuership and Law"" concentration is part of a larger entrepreurship pathway, and no concentration is even required.

Innovation and Entrepreneurship Program has broad focus (seems more interested in startups than social enterprises). 

Clinic does not mention specifically that it takes on social enterprises as clients. 

Do we need to include Albany on the tiered short list? I think they've made an institutional commitment to entrepreneurship, but they haven't made that commitment to social enterpirse, impact investing, or sustainable development specifically. ","Tied for #117 by US News

Programs/Clinic are separate and there is not a presence of institutional commitment to social entrepreneurship, impact investing or sustainble development. It is more broad. We do not need to include on shortlist. ",,,,,,
University of Oklahoma College of Law,,"Entrepreneurial Law Center in Tom Love Innovation Hub

Tom Love Center for Entrepreneurship",TRUE,FALSE,FALSE,,"OU Entrepreneurial Law Center (ELC)
The OU Entrepreneurial Law Center (ELC) is the first center of its kind in Oklahoma. The ELC operates under the leadership of Executive Director David Kinsinger and is housed within the Tom Love Innovation Hub.An article announcing the center's launch includes the phrase ""sustainable businesses,"" indicating a focus relevant to the research. The full quotation from the article states, ""The OU ELC provides these services, reducing the barriers to entrepreneurship and empowering startups to develop their ideas into sustainable businesses.""

Online Presence: The ELC does not currently have a dedicated website. Due to the mention of ""sustainable businesses"" and its unique status in the state, the ELC is a relevant entity for further consideration.

Tom Love Center for Entrepreneurship hosts experiential learning at the Innovation Hub for students to get access to hands-on access to tools or guidance from the Legal Clinic.

The crossover between the Tom Love Innovation Hub and Tom Love Center for Entrepreneurship is not always clear but donation is from Tom and Judy Love Foundation who have donated to the university's entrepreneurship program since 2003. ",I don't think OU should be included on the shortlist at all. The web presence is not very comprehensive. I don't see any institutional commitment here. ,The programs overlap and it is unclear what which Center and Hubs hold which intiative despite having institutional commitment from a donor. The school is also not highly ranked. ,,,,,,
University of San Francisco School of Law,,"Center for Law, Tech, and Social Good


Internet & Intellectual Property Justice Clinic

",TRUE,FALSE,TRUE,,"The Center for Law, Tech, and Social Good focuses on social and environmental change, which aligns with the research objectives. The Center is led by Faculty Director Michele Neitz, was previously known as the Blockchain Law for Social Good Center, which was the first of its kind in the United States.

The Center houses the Internet & Intellectual Property Justice Clinic, which provides services to individuals and startups dedicated to social and environmental change, as well as to inventors, artists, and entrepreneurs.

Other initiatives include:
-Training for executives
- Research and research opportunities for students
- Collaboration with an advisory board whose members work at large companies
- Generous contributions from various companies are listed at the bottom of the Center's webpage.","Tied for #166 in US News

Classes offered center around tech broadly; not social entrepreneurship (AI & Law, Blockchain Law, and Decentralized Finance Law)

Dedicated annual research project centers around blockchain

I don't see a specific connection to any of our keywords here; I don't think USF should even be included in Tier III","Tied for #166 in US News

I don't see a specific connection to any of our keywords here;",,,,,,
Stong institutional commitment*,,,,,,,,,,,,,,,
Columbia Law School ,"• Columbia Law School offers the Entrepreneurship and Community Development Clinic (offered Fall 2025 and Spring 2026). 
        • The clinic’s website states that their clients “might include micro-entrepreneurs, technology entrepreneurs, social entrepreneurs, artists, authors or filmmakers, who may be individuals or for-profit businesses in need of transactional legal counsel related to starting or operating their business."" 
        • Students in this clinic can broaden their experience by ""holding bi-weekly office hours with various incubators such as the Columbia Startup Lab."" 
• The Climate School at Columbia University includes the Columbia Center on Sustainable Investment (CCSI), and it takes an interdisciplinary approach that draws on the expertise of the faculty in business, law, and engineering, among others. 
•How the Climate School works: 
        • Research
        • Policy and Advisory Services
        • Multi-Stakeholder and Expert Dialogue
        • Teaching and Curriculum Development
        • Resources and Tools
• Also outside of the law school, Columbia Business School is home to the Tamer Institute for Social Enterprise and Climate Change whose mission is to educate “leaders to use business knowledge, entrepreneurial skills, and management tools to address social and environmental challenges.”","Columbia Center on Sustainable Investment

Columbia Law School Entrepreneurship and Community Development Clinic

",TRUE,FALSE,TRUE,,,,,,,,,,
Georgetown University Law Center,"• Denny Center for Democratic Capitalism: “Over the last 200 years, free market capitalism has proven itself as an unmatched engine for driving economic growth in the United States and around the world, and yet big problems persist, including uneven economic opportunities, degradation of natural resources, and questions of corporate integrity when profits appear to be the sole motivator. The Denny Center’s primary work is to evaluate the relative balance of economic performance and societal health and stability.”
• The Denny Center: 
        • conducts and publishes research, including the center’s signature annual report card to analyze the current health of democratic capitalism;
        • convenes leading voices from business, government and society (both public and private sectors) to discuss existing tensions and recommend new paths forward; and
        • creative student experiences to enrich their education, engage them in the center’s work, and prepare them for lifelong contributions.
• The Denny Center currently has two Affiliated Fellows who ""are available to collaborate with students, faculty, and staff on research projects, event organization and participation, and student mentoring."" 
• The law school also operates the Social Enterprise & Nonprofit Law Clinic (SENLC) which “offers free corporate and transactional legal services to social enterprises, including nonprofit organizations, cooperative associations, and select small businesses in the Washington Metropolitan Area.” 
        • In 2012, the clinic (along with clinics from George Washington and Michigan) launched a collaboration with their common client: Ashoka.
        • The clinic offers a two-year graduate teaching fellowship.","Georgetown Social Enterprise and Nonprofit Clinic

Georgetown Denny Center for Democratic Capitalism",TRUE,FALSE,TRUE,,,,,,,,,,
New York University School of Law,"• The Grunin Center serves as a comprehensive institutional hub for social entrepreneurship, impact investing, and sustainable development. The Center sponsors research, hosts convenings for practitioners and scholars, develops educational resources, and supports student engagement across all three fields. 
        • The Center operates the International Transactions Clinic (ITC), which provided over 2,300 billable hours of transactional legal work in 2024-25. The clinic's clients include social enterprises, impact investors, and sustainable development organizations worldwide. The ITC historically supported the launch of the NYU Impact Investment Fund (NIIF), a joint venture with Stern School of Business and Wagner School of Public Service that provides students with hands-on impact investing experience.
        • The Grunin Center hosts multiple annual and other recurring events including the flagship IILWG/Grunin Center Conference (bringing together lawyers, scholars, and social entrepreneurs), a symposium co-hosted with the NYU Law Journal of Law and Business, and the Legal Scholars & Educators Convening. The Center also offers CLE programming, including workshops on launching and managing impact investment funds, and administers the Impact Legal Fellows Program in conjunction with the International Finance Corporation (IFC) to build legal capacity around impact transactions in emerging markets.
        • The Center's Tepper Fellows program enables students to drive thought leadership. The Tepper Fellows annually publish ""Mapping the State of Social Enterprise and the Law,"" update the Social Enterprise Law Tracker (SELT), an interactive map tracking state legislation around five social enterprise corporate forms across the United States from 2008 to present. Broader student engagement is fostered through the Social Enterprise & Startup Law Group (SE-SL), a student-run organization that the Gruin Center supports. 
        • Outstanding contributions are recognized through the White & Case Award in Law and Social Entrepreneurship (for students) and the Grunin Prizes (for practitioners).
• Outside of the law school, NYU Stern's Center for Sustainable Business focuses on integrating sustainability into corporate strategy, and Wagner's Social Innovation & Investment Initiative designs social financial instruments and innovative financing models—both offering programming that complements the Grunin Center's work and creates cross-school collaboration opportunities for law students.","International Transactions Clinic (ITC)

Grunin Center for Law and Social Entrepreneurship

",TRUE,TRUE,TRUE,,,,,,,,,,""""
Northwestern Pritzker School of Law,"• The Donald Pritzker Entrepreneurship Law Center (DPELC): “With the prevalence of entrepreneurship in business and law around the country, lawyers need to be prepared both to serve entrepreneurs as clients and to approach legal problems in a more entrepreneurial manner.” 
        • The DPELC clinic “provides legal services to start-up companies and social entrepreneurs in Illinois and California.”
        • DPELC hosts events such as the Future of Innovation, Sustainability, and the Law speaker series and symposia. 
        • The DPELC offers a variety of courses, including traditional, clinical, and simulation-based courses, as well as a competition and workshops.","Donald Pritzker Entrepreneurship Law Center Clinic

Donald Pritzker Entrepreneurship Law Center",TRUE,FALSE,TRUE,,,,,,,,,,
UC Berkeley Law,"• “The Berkeley Center for Law and Business (BCLB) is dedicated to leveraging the power of business to help solve some of society’s most difficult challenges.”
        • “We aim to be the leading venue for conversations about sustainability, corporate governance, equity and inclusion, financial fraud, mergers and acquisitions, venture capital, small business, and other important policy issues.”
        • The BCLB leads its webpage with a letter from the dean that includes: “Our business law program stands out for the way it connects rigorous academic inquiry with real-world practice. With a strong focus on corporate purpose, values-based leadership, and long-term solutions, BCLB helps equip our students and the legal community not only to succeed in business, but also to lead in ways that advance the broader public good.”
        • Initiatives within BCLB include: 
                • Startup@BerkeleyLaw
                • Business in Society Institute
                • Women in Business Law Initiative
                • Art, Law, and Finance Project
                • Executive Education
                        • ESG University: a Sustainable Capitalism Online Certificate Program. 
                • Student Voices
        • The BCLB hosts numerous fora, summits, symposia, and other events, and it is sponsored by ten prominent law firms, including Skadden, Orrick, and Cooley. 
• Berkeley’s Social Enterprise Clinic: “The clinic serves as transactional counsel for social enterprises — for-profit and nonprofit businesses that use market-based strategies to advance racial and economic justice.”","Social Enterprise Clinic

Berkeley Center for Law and Business (BCLB)",TRUE,TRUE,TRUE,,,,,,,,,,
University of California at Los Angeles (UCLA) School of Law,"• The Lowell Milken Institute for Business Law and Policy: “For more than two decades, UCLA School of Law has offered a Business Law and Policy Specialization for law students interested in practicing corporate and business law.” Its programming includes competitions, educational events, scholarships, and support for student organizations. 
        • While the institute’s primary focus is not social entrepreneurship, we include it as an institution with a strong commitment due to the area of research of its executive director, Michael Dorff. Prof. Dorff’s research and teaching focus on social enterprises, and he is the author of Becoming a Public Benefit Corporation: Express Your Values, Energize Stakeholders, Make the World a Better Place. 
        • Social entrepreneurship is an element of the institute’s programming including the Lowell Milken Institute-Sandler Prize for New Entrepreneurs, which is a business plan competition that is open to startup businesses that are for-profit, not-for-profit, or public benefit; and the executive education partnership with UC Berkeley that offers ESG University. 
",Lowell Milken Institute for Business Law and Policy,TRUE,TRUE,FALSE,,,,,,,,,,
University of Michigan School of Law,"• The University of Michigan Law School offers the Transactional Law Clinics Program: “The Transactional Law Clinics Program, which consists of the Community Enterprise Clinic, Zell Entrepreneurship Clinic, and the International Transactions Clinic (ITC), provides legal assistance to startups, nonprofits, community-based organizations, small businesses, impact investors, micro-finance institutions, cooperatives, and social enterprises.”
        • Community Enterprise Clinic: Provides transactional legal services to social enterprises, cooperatives, and community-based nonprofits with a mission of promoting economic and social justice in disinvested urban areas, including work on projects like sustainable food systems. 
        • ITC: Works on cross-border deals for a diverse clientele including social enterprises and impact investors, often using models like microfranchising to achieve scalability and maximize global impact. Launched in 2008, the ITC is the first legal clinic of its kind to combine an international and transactional focus. 
                • In 2012, the clinic (along with clinics from George Washington and Georgetown) launched a collaboration with their common client: Ashoka. 
                • The clinic offers a two-year graduate teaching fellowship and travel opportunities for students; over winter break 2024-25, two groups of students from the ITC took part in hands-on experiences in Kenya and Costa Rica. 
        •Zell Entrepreneurship Clinic: This clinic does not state that it represents social enterprises. 
","Entrepreneurship Clinic

International Transactions Clinic

Environmental and Sustainability Clinic

Community Enterprise Clinic (CEC) ",FALSE,FALSE,TRUE,,,,,,,,,,
University of Virginia School of Law,"• The John W. Glynn Jr. Law & Business Program: “By integrating business and legal analysis into the law school classroom, the program better prepares students to serve their future clients from day one.” This program does not specialize in social enterprise or impact investing. 
        • Two of the five clinics in the program are the Community Organization and Social Enterprise Clinic I and II: “Assisting startup and developing community organizations and social enterprises to create a legal/business structure starts as a collaboration with the client to develop or refine their goals and strategies, to help determine what structure is appropriate, drafting the formation documents consistent with their values, and providing materials and support to ensure that the work is sustainable over time. This clinic teaches both the strategic and the drafting aspects of social enterprise lawyering.”
","John W. Glynn Jr. Law & Business Program

Community Organization and Social Enterprise Clinic

Nonprofit Clinic",TRUE,FALSE,TRUE,,,,,,,,,,
Yale Law School,"• “Ludwig Center for Community & Economic Development Clinic represents non-profit corporations, community development financial institutions, advocacy organizations, neighborhood associations, governmental entities, social enterprises, and small businesses.”
• The law school also offers an Entrepreneurship & Innovation Clinic. While it does not use the term ""social enterprise"" on its webpage, it states: “When taking on clients, we will often give preference to ventures that  have a positive impact on society or that push the boundaries of  innovation.  We seek to work with ventures led by individuals or groups that are underrepresented in the venture space.”
        • The clinic also advertises the EIC Startup Sourcebook, a free curated educational resource for startups and founders; one of the buckets of resources is on ""Formation,"" and the first article listed is on Delaware PBC. 
• While adjacent to the work of the Grunin Center, Yale offers an interdisciplinary initiative, the Yale Center for Environmental Law & Policy (YCELP), that “advances fresh thinking and analytically rigorous approaches to environmental decision-making across disciplines, sectors, and scales. In addition to its research activities, the Center also aims to foster discussion and collaboration across the Yale campus on environmental law and policy issues at the local, regional, national, and global levels.”
• Additionally, the Yale School of Management is home to the Program on Social Enterprise, Innovation and Impact (formerly the Program on Social Enterprise) and the student group the Impact Investing Club. ","Yale Entrepreneurship & Innovation Clinic

The Yale Center for Environmental Law & Policy (YCELP)

Ludwig Center for Community & Economic Development

Carol and Gene Ludwig Program in Public Sector Leadership",TRUE,FALSE,TRUE,,,,,,,,,,
Substantial institutional commitment**,,,,,,,,,,,,,,,
Boston College Law School,"• The Platform for Inclusive Economics (PIE) “frames issues in business and innovation in terms of serving society, including equality of access to opportunities, social mobility, and human and economic development. PIE supports both academic research and student work and hosts speakers, conferences, and symposia in Boston and other cities.” 
        • Since 2018, PIE (along with Ropes & Gray) has hosted the International IP Summit, which serves as a “forum for practitioners, business leaders, academics, and government officials to explore the dramatically evolving global IP environment.” 
        • For students, PIE offers the PIE Tethered Externship Seminar, which “allows students to participate in externships in the legal departments of innovative and entrepreneurial companies and law firms in the Greater Boston area. The PIE classroom seminar to which the externships are tethered includes relevant legal instruction, student PIE projects, and a written work requirement.” 
• Additionally, Boston College School of Law has the Entrepreneurship & Innovation Clinic, in which “students help bring innovative ideas to life, advising social entrepreneurs, tech startups, authors, filmmakers, musicians, and other creative thinkers. Students deal in the worlds of intellectual property, licensing, regulation, and corporate formation in our region’s thriving innovation economy.”","Boston College Entrepreneurship & Innovation Clinic

Program on Innovation & Entrepreneurship",TRUE,FALSE,TRUE,,,,,,,,,,
University of Missouri--Kansas City School of Law,"• The Center for Law, Entrepreneurship & Innovation (CLEI) “is a vehicle for multidisciplinary collaborators to form and deploy teams that promote the use of entrepreneurship and innovation in providing high-quality education, addressing societal needs with a diversity of knowledge bases and perspectives, and producing thoughtful and effective solutions to generate public good.” 
        • CLEI sponsors the UMKC Venture Fund, “the university’s first evergreen venture fund, focused on investing in high-growth, tech-enabled startups and promising entrepreneurial projects originating from UMKC students, faculty, and other ventures affiliated with UMKC.​” 
        • CLEI hosts the Midwest Symposium on Social Entrepreneurship, which has been held for 10 years. This “unique one-day social entrepreneurship event” is “designed for individuals and organizations interested in engaging in or supporting social entrepreneurship.” 
• UMKC School of Law is home to the Entrepreneurial Legal Services Clinic and Intellectual Property Clinic. The clinic “serves new and established entrepreneurs (Missouri or Kansas residents) who need assistance with legal services but who cannot afford the market rate for those services.” ","Entrepreneurial Legal Services Clinic and Intellectual Property Clinic

Center for Law, Entrepreneurship & Innovation

Regnier Institute for Entrepreneurship & Innovation.",TRUE,TRUE,FALSE,,,,,,,,,,
University of Washington School of Law,"• The Barer Institute for Leadership in Law & Global Development “focuses on the role of law in promoting improved outcomes in governance and multi-dimensional development in low and lower-middle income countries and countries in political transition.” 
        • The Barer Institute was established in 2008 with a gift of $4 million; the estate of the Barer family made a second gift of $45 million to the program in 2024. 
        • Sustainable International Development LLM Program: “The Barer Institute selects annually four mid-career leaders from lower to middle income countries to pursue graduate study in the Sustainable International Development LL.M. Program and to serve as change makers in their home countries upon graduation.” 
                • Courses include ""Leadership in Sustainable Development Colloquium"" and the ""Global Development Law & Policy Workshop."" 
        • The institute's director, Anita Ramasastry, is also the associate dean for global and graduate programs, highlighting an institutional commitment to the institute. 
• The Entrepreneurial Law Clinic (ELC) at UW School of Law lists “social entrepreneurs & non-profits” as one of their client “types.” 
According to the website, “Because of the emerging trend in social entrepreneurship for new ventures to demonstrate both low cost access strategies and profitable market strategies, the ELC will consider providing services to founders who are not exclusively committed to forming a non-profit.”
","The Barer Institute for Leadership in Law & Global Development 

Entrepreneurial Law Clinic",TRUE,FALSE,TRUE,,,,,,,,,,
Some institutional commitment***,,,,,,,,,,,,,,,
Brooklyn Law School,"• The Center for Urban Business Entrepreneurship (CUBE) offers courses–including a course on law and social entrepreneurship– and “global opportunities for students to work with businesses, startups, and social entrepreneurs.” 
        • Students involved in CUBE can obtain the CUBE Certificate in Entrepreneurial Law which prepares students to “represent new ventures for startups and growing commercial companies.” 
        • The CUBE is also home to three clinics operating in the entrepreneurial space: 
                • Brooklyn Law Incubator and Policy Clinic 
                • Corporate and Real Estate Clinic
                • Community Development & Movement Infrastructure Clinic 
                        • According to the Community Development & Movement Infrastructure Clinic website, “Some of our clients are conventional CED groups, like community-based non-profits, affordable housing developers, worker-owned cooperatives, and social enterprises, but we also aim to use our legal toolbox to provide support to groups operating at the intersection of community development and social movements.” 
                        • Of the CUBE’s three clinics, the Community Development & Movement Infrastructure Clinic is the only one that explicitly states on its website that it takes on social enterprises as clients. 
• The Social Enterprise Seminar, taught by Dana Brakman Reiser, explores “the legal and social ramifications of the increasing trend toward hybridization of nonprofit and for-profit endeavor.”","CUBE: The Center for Urban Business Entrepreneurship

Community Development & Movement Infrastructure Clinic
",TRUE,FALSE,TRUE,,,,,,,,,,
Northeastern University School of Law,"• The Community Business Clinic's (launched Fall 2022) mission is to ""support inclusive entrepreneurship, foster community development, and train the next generation of socially engaged legal professionals.” 
• “The Program on the Corporation, Law and Global Society fosters interdisciplinary research and discussion among scholars, policymakers and advocates to examine the corporation as an institutional form with social significance akin to the state, the family or the city.” 
        • Although the website is light on specific details as to programming and methods, it does states that “...the program encourages scholars to build on corporate law theory, firm theory, ‘old’ and ‘new’ institutional economics, development theory, economic sociology, organization studies, management studies, political theory, anthropology and other sources. Outside of the Program on the Corporation, Law and Global Society, Northeastern Law is home to the Socially Conscious Investing Club, a student group whose “mission is to engage students in substantive legal work in a sustainable investment sector focused on generating a positive social and environmental impact alongside a financial return.”
","Community Business Clinic

Program on the Corporation, Law and Global Society",TRUE,FALSE,TRUE,,,,,,,,,,
Pace University--Elisabeth Haub School of Law,"• The Sustainable Business Law Hub “serves as an incubator space, student-training program, research endeavor, and think tank devoted to addressing global sustainability challenges through policy and research projects, relationships with the business community, and capacity building in private environmental governance.” 
• The hub co-hosts the WCA Profit & Purpose Sustainable Business Conference with the Westchester County Association, which “brings together business, government, non-profits, & academia to explore innovative strategies for driving sustainable impact.”
• The Sustainable Business Law Student Scholars Program is housed in the hub. 
        • According to the website, “The program provides curricular, scholarship, and mentorship opportunities for students pursuing careers in sustainable business law and as ESG lawyers.” 
• Beyond the law school, Pace University is home to the Helene T. and Grant M. Wilson Center for Social Entrepreneurship, which collaborates “with local stakeholders to address pressing social, economic, and environmental” and offers funding for up to four faculty fellows annually, as well as funding for summer internships. 
        • Annually, the Wilson Center “brings a respected Social Entrepreneur in Residence into the Pace University community. This leader shares experience and wisdom and helps the Pace Community to understand the challenges and opportunities facing nonprofit organizations and community leaders.”",Sustainable Business Law Hub | Pace University New York,TRUE,TRUE,FALSE,,,,,,,,,,
Pepperdine Caruso School of Law,"• “Entrepreneurial ventures are the driving force behind modern innovation and wealth creation, and the Palmer Center equips its students with the educational and experiential tools to form and grow such ventures.”
        • The Palmer Center co-sponsors (with the Pepperdine Graziadio Business School) the Socially, Environmentally and Ethically Responsible (SEER) Symposium, which “explores the next generation of business strategy, focusing on entrepreneurship, values, and innovation.” 
        • The center offers a multi-disciplinary 12-unit certificate program that “prepares students to fulfill the overlapping roles of lawyer and entrepreneur for law-related careers in business, startups, entertainment, hi-tech, real estate, and other related practice areas.” 
                • Through the certificate program, students can take a course elective on social entrepreneurship. 
                • The certificate program culminates in a Certificate Ceremony during commencement week. 
        •The center is home to the Startup Law Clinic, “ an initiative designed to train law students to serve entrepreneurs of startups with formation, capitalization, corporate governance, user agreements, angel investor financings, and venture capital transactions.” 
        •Palmer Center sponsors the Pepperdine Journal of Business, Entrepreneurship, and the Law, which “contributes to legal knowledge in the fields of entrepreneurship and business through publication of high-quality academic articles.”
• Beyond Pepperdine Caruso School of Law, Pepperdine’s Graduate School of Education & Psychology offers an MA in Social Entrepreneurship and Change, which teaches “socially conscious individuals to make a lasting impact by analyzing complex social problems, creating sustainable market-based solutions, and improving management and leadership skills.” 
There is no evidence of the law school collaborating with this masters program. 
• Pepperdine University has the Impact for Good Fund, “established to assist Pepperdine’s students in their efforts to serve the neediest of people around the world, in accordance with Pepperdine University's mission to strengthen students’ lives for purpose, service and leadership.”
",Palmer Center for Entrepreneurship and the Law,TRUE,FALSE,FALSE,,,,,,,,,,
New York Law School,,"Wilf Impact Center for Public Interest Law

The Plumeri Center for Small Business Empowerment and Nonprofit and Small Business Clinic",TRUE,FALSE,FALSE,,"The existence of the Plumeri Clinic at New York Law School has been noted. While it may potentially engage with social enterprise clients, a definitive determination cannot be made based on publicly available information. Consequently, the clinic has not been marked as relevant to the project at this time.

In contrast, the Wilf Impact Center's website directly mentions ""social entrepreneurship,"" which aligns with the project's focus. Although the center has a broad scope, its research and collaborations with faculty and affiliates address a wide range of critical issues. These include criminal justice, voting rights, racial justice, and economic justice, in addition to social entrepreneurship. The center's comprehensive approach to these issues makes it a relevant resource for the research project.","Tied for #121 on US News

I don't think NYLS should even make the short list. The Wilf Center's focus is incredibly broad, and the only connection I can see between the center and social entrepreneurship is one course. ","Low ranking

Broad scope for initiatives and programs",,,,,,
West Virginia University College of Law,"• The Center for Energy and Sustainable Development “is committed to playing a prominent role in shaping the energy and environmental policies of the future.” 
        • In order to do this, “The Center conducts objective, unbiased research and policy analyses providing a forum for issues to be explored by various stakeholders, and promotes policies that balance the demand for energy resources alongside the need to reduce environmental impacts.” 
        • In 2023, the Center received a grant of $143,000 from the Alfred P. Sloan Foundation to support a conference on ""Best Practices for Community Engagement for Just Energy Transitions."" 
        • The center offers a JD and LLM concentration and collaborates with the Land Use and Sustainable Development Law Clinic, which provides legal services for land conservation and planning. 
• The law school demonstrates its commitment to sustainable development by regularly hosting the National Energy Conference and establishing the nation's first moot court competition focused on energy and sustainability issues. 
• WVU is also home to the Entrepreneurship and Innovation Law Clinic, which provides ""essential, pro-bono, corporate legal services to small businesses, social enterprises, nonprofits, and individual entrepreneurs."" 
        • There is no evidence that the Center for Energy and Sustainable Development collaborates with the Entrepreneurship and Innovation Law Clinic, highlighting the center’s emphasis on sustainable development rather than social entrepreneurship.
","Entrepreneurship and Innovation Law Clinic

Center for Energy and Sustainable Development",TRUE,FALSE,TRUE,,,,,,,,,,
Strong institutional commitment,"Schools in this category demonstrate a high level of institutional commitment to social entrepreneurship, impact investing, and/or sustainable development.

This commitment is demonstrated through a dedicated, formal center or institute (or a similarly structured program) that acts as a singular organizing hub for the school's relevant offerings. This center coordinates a comprehensive suite of programming, including clinics, courses, student groups, and recurring events/symposia. This structure often involves cross-campus collaboration (e.g., with a business school) and includes the visible support of institutional leadership (e.g., a dean or associate dean).",,,,,,,,,,,,,,
Substantial institutional commitment,"Schools in this category demonstrate a clear focus on social entrepreneurship, impact investing, and/or sustainable development through specific programming, although they may lack the comprehensive institutional commitment of a school with “strong institutional commitment.” 

Their engagement is typically part of a broader, more general program (e.g., a general entrepreneurship center) and/or lacks a dedicated institutional commitment. This is typically evidenced by a general entrepreneurship clinic that has worked with social enterprises but does not state it as a core mission, or a business law course with a single related component or module. The institutional commitment to these areas is less clear and not a central priority.",,,,,,,,,,,,,,
Some institutional commitment,"Schools in this category offer programming relevant to social entrepreneurship, impact investing, and/or sustainable development, but this is a secondary focus. 

Their engagement is typically part of a broader, more general program (e.g., programming that is more generally concerned with entrepreneurship, sustainability, community/international development) and lacks explicit keyword focus in the program's current mission or name.",,,,,,,,,,,,,,
Mitchell Hamline School of Law,,"Economic Inclusion Clinic. 

Center for Law and Business (CLAB)",TRUE,FALSE,TRUE,,"The Economic Inclusion Clinic website states that ""many of our clients are social enterprises...""

The Center for Law and Business (CLAB) should be considered for the shortlist. The Center's website indicates it has hosted panels on social enterprises, although no additional details on these events are available on the school's website.

CLAB offers a Law and Business Certificate that is described as supporting a wide range of professional goals. The certificate is specifically noted as serving students interested in nonprofits and social enterprises, which directly aligns with the research focus.

CLAB offers the opportunity for students to puruse the dual JD/MBA in partnership with Hamline University’s School of Business.

Students can also study abroad in the Kosovo's University of Pristina to explore economic development, legal reform, and post-conflict reconstruction alongside attorneys, judges, and entrepreneurs from across the region OR study in London's Greenwich University to gain access to an international community of attorneys working in law and business.

CLAB also hosts the Ainsworth Memorial Award for Legal Innovation and Impact given to one outstanding student long paper completed through the Mitchell Hamline Law Review. The winner will receive a $500 cash prize, and the selected paper will be published in the Mitchell Hamline Law Review. The recipient will be chosen by members of the Law Review Editorial Board.","Tied for #144 by US News. 

While website mentions students are afforded the chance to work with social enterprises through CLAB, it's not clear where/how this happens.",Although there are programs that mention keywords the school is not ranked highly and the programs are not unique enough for us to merit further research. ,,,,,,